Model,recall_q1,precision_q1,recall_q5,precision_q5
mlp_128_64_32,0.2795006843500407,0.27954427308958585,0.22884778727313698,0.22883787039685222
mlp_256_128_64_32,0.2702749527885098,0.2703171027551551,0.23242732583334777,0.2324172538415538
mlp_64_32,0.27833988807844906,0.2783832957892913,0.22714035604708002,0.22713051316051758
hgbr,0.23485334118747725,0.23488386196858513,0.23947372982717677,0.2394758054031566
Ridge,0.21366447790155754,0.21369779934153527,0.25365320945067515,0.2536422176577139
Lasso,0.32591520989622136,0.19833835026437732,0.16809097054897815,0.2323386005055527
