Model,recall_q1,precision_q1,recall_q5,precision_q5
mlp_128_64_32,0.27966160340472646,0.2797172545660619,0.22907900888265545,0.22906512686883726
mlp_256_128_64_32,0.2705010207259264,0.27055484898036875,0.2326286080376777,0.23261451092084873
mlp_64_32,0.2784851735234075,0.27854059058149694,0.22728689418731496,0.22727312077428516
hgbr,0.23500916923289852,0.23505186748916362,0.23958062784617248,0.23958062784617248
Ridge,0.21393723400574374,0.21397980636955902,0.25381365470192024,0.2537982737873659
Lasso,0.3302394380817273,0.19920686686321062,0.010181289283673576,0.22105263157894736
